date,order_book_id,symbol,open,high,low,close,price_change,pct_change,volume_shares,amount_yuan,volume,total_turnover
2025-07-03,002050.XSHE,三花智控,25.653827507066726,26.052953567075544,25.653827507066726,25.90328129457224,,,35592079.0,921548083.28,35592079.0,921548083.28
2025-07-04,002050.XSHE,三花智控,25.813477931070253,25.933215749072897,25.464242628562538,25.613914901065847,-0.28936639350639126,-1.1171032357472965,46602659.0,1198996763.4,46602659.0,1198996763.4
2025-07-07,002050.XSHE,三花智控,25.464242628562538,25.464242628562538,25.0551384170535,25.115007326054826,-0.498907575011021,-1.9477989871445223,47653176.0,1201288252.6,47653176.0,1201288252.6
2025-07-08,002050.XSHE,三花智控,25.115007326054826,25.45426447706232,25.005247659552396,25.414351871061434,0.29934454500660834,1.1918951132300126,36539759.0,927955021.57,36539759.0,927955021.57
2025-07-09,002050.XSHE,三花智控,25.51413338606364,25.84341238557091,25.394395568060993,25.414351871061434,0.0,0.0,44247692.0,1133849230.12,44247692.0,1133849230.12
2025-07-10,002050.XSHE,三花智控,25.30459220455901,25.564024143564744,25.194832538056588,25.364461113560335,-0.049890757501099614,-0.19630938358852212,31136002.0,790100888.19,31136002.0,790100888.19
2025-07-11,002050.XSHE,三花智控,25.394395568060993,25.92323759757268,25.24472329555769,25.69374011306761,0.3292789995072738,1.2981904012588474,58237927.0,1497211161.54,58237927.0,1497211161.54
2025-07-14,002050.XSHE,三花智控,25.643849355566505,26.02301911257488,25.504155234563417,25.813477931070253,0.11973781800264405,0.46601941747572706,58811926.0,1520124899.86,58811926.0,1520124899.86
2025-07-15,002050.XSHE,三花智控,25.92323759757268,26.641664505588547,25.72367456756827,26.641664505588547,0.8281865745182948,3.2083494395052092,127074950.0,3340933471.91,127074950.0,3340933471.91
2025-07-16,002050.XSHE,三花智控,26.541882990586345,28.108452776120952,26.511948536085683,27.469851080106846,0.8281865745182984,3.1086142322097388,160909210.0,4418392633.29,160909210.0,4418392633.29
2025-07-17,002050.XSHE,三花智控,27.240353595601775,27.86897714011566,27.17050653510023,27.839042685615,0.3691916055081528,1.3439883763167293,101938876.0,2822501495.27,101938876.0,2822501495.27
2025-07-18,002050.XSHE,三花智控,27.839042685615,27.84902083711522,27.409982171105522,27.619523352610152,-0.21951933300484683,-0.7885304659498105,65497014.0,1809365250.21,65497014.0,1809365250.21
2025-07-21,002050.XSHE,三花智控,27.689370413111693,28.238168745623817,27.37006956510464,27.739261170612796,0.11973781800264405,0.43352601156068094,84578561.0,2352975462.4,84578561.0,2352975462.4
2025-07-22,002050.XSHE,三花智控,27.509763686107725,27.888933443116102,27.250331747101992,27.559654443608828,-0.17960672700396785,-0.6474820143884896,71480018.0,1972366158.3,71480018.0,1972366158.3
2025-07-23,002050.XSHE,三花智控,27.439916625606184,27.669414110111255,27.290244353102878,27.4000040196053,-0.15965042400352658,-0.5792903692976137,56587649.0,1555298355.82,56587649.0,1555298355.82
2025-07-24,002050.XSHE,三花智控,27.220397292601334,27.84902083711522,27.220397292601334,27.729283019112575,0.3292789995072738,1.2017479970866773,63515046.0,1761800605.08,63515046.0,1761800605.08
2025-07-25,002050.XSHE,三花智控,27.65943595861103,27.679392261611472,26.90109644459428,27.010856111096704,-0.7184269080158714,-2.590860021590502,83042263.0,2259805300.98,83042263.0,2259805300.98
2025-07-28,002050.XSHE,三花智控,27.419960322605743,27.80910823111434,27.150550232099793,27.280266201602657,0.26941009050595355,0.9974141115626223,65227066.0,1794736264.66,65227066.0,1794736264.66
2025-07-29,002050.XSHE,三花智控,27.13059392909935,27.260309898602216,26.90109644459428,27.10065947459869,-0.17960672700396785,-0.6583760058522348,45817979.0,1242389143.31,45817979.0,1242389143.31
2025-07-30,002050.XSHE,三花智控,27.040790565597366,27.050768717097586,26.432123324083918,26.561839293586786,-0.5388201810119035,-1.988217967599415,56458442.0,1513255639.15,56458442.0,1513255639.15
2025-07-31,002050.XSHE,三花智控,26.571817445087003,27.08070317159825,26.282451051580612,26.39221071808304,-0.16962857550374721,-0.638617580766343,62574970.0,1675560292.85,62574970.0,1675560292.85
2025-08-01,002050.XSHE,三花智控,26.40218886958326,26.791336778091857,26.062931718575765,26.25251659707995,-0.13969412100308887,-0.52930056710776,50022547.0,1321260750.25,50022547.0,1321260750.25
2025-08-04,002050.XSHE,三花智控,26.062931718575765,26.801314929592074,25.99308465807422,26.801314929592074,0.5487983325121242,2.0904599011782654,49813253.0,1322826765.89,49813253.0,1322826765.89
2025-08-05,002050.XSHE,三花智控,26.841227535592957,26.941009050595163,26.581795596587227,26.8611838385934,0.05986890900132735,0.22338049143710847,49488296.0,1327717173.74,49488296.0,1327717173.74
2025-08-06,002050.XSHE,三花智控,26.911074596094497,27.669414110111255,26.69155526308965,27.589588898109486,0.7284050595160849,2.711738484398185,98132750.0,2686242469.22,98132750.0,2686242469.22
2025-08-07,002050.XSHE,三花智控,27.63947965561059,27.719304867612355,27.090681323098465,27.31020065610332,-0.2793882420061671,-1.0126582278480845,61943651.0,1696376580.74,61943651.0,1696376580.74
2025-08-08,002050.XSHE,三花智控,27.240353595601775,27.240353595601775,26.761402323591195,26.791336778091857,-0.5188638780114623,-1.8998903909389853,47118446.0,1270577527.27,47118446.0,1270577527.27
2025-08-11,002050.XSHE,三花智控,26.831249384092736,27.200440989600896,26.791336778091857,26.950987202095384,0.15965042400352658,0.5959031657355673,46843087.0,1266446421.95,46843087.0,1266446421.95
2025-08-12,002050.XSHE,三花智控,27.040790565597366,27.19046283810067,26.761402323591195,26.851205687093177,-0.09978151500220633,-0.3702332469455838,49616132.0,1339332935.02,49616132.0,1339332935.02
2025-08-13,002050.XSHE,三花智控,26.87116199009362,27.619523352610152,26.741446020590754,27.56963259510905,0.7184269080158714,2.6755852842809347,94437184.0,2578035466.6,94437184.0,2578035466.6
